"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10"
"hdp.1",7161.12400327131,99.5383187209902,1028.68131138494,5403.26270849116,2007.57153701954,443.887278066479,235.244567006915,2311.04429753787,2355.98329609789,5910.78634250228
"hdp.2",3251.8922510734,1126.70146123431,1820.6857349809,2032.98961235731,344.920011774366,1243.1563544522,5389.93648337175,1517.80829270268,2449.13549699314,1858.2034237222
"hdp.3",1527.09006338172,982.904452466907,434.0778742595,1073.49203271658,440.760871922785,9206.38306615285,529.637882779058,944.111695267179,891.713831567653,836.594428729354
"hdp.4",2959.89368227356,2878.85576757779,2639.55507937466,3901.25564643495,662.747579283313,413.573301328469,407.181066842279,5195.03571449228,7613.16737534133,4268.41580504617
