"","Biliary-AdenoCA::SP117655","Biliary-AdenoCA::SP117556","Biliary-AdenoCA::SP117627","Biliary-AdenoCA::SP117775","Biliary-AdenoCA::SP117332","Biliary-AdenoCA::SP117712","Biliary-AdenoCA::SP117017","Biliary-AdenoCA::SP117031","Biliary-AdenoCA::SP117759","Biliary-AdenoCA::SP117621"
"hdp.1",5178.2507867732,219.914971979,1328.3206288527,6428.64029269414,2380.32587666264,321.87825877978,120.47584402544,2571.72277328273,3152.38741196625,7209.25205512783
"hdp.2",1561.94406780509,907.783658400545,276.412495609637,794.264694088651,396.658403869407,9127.99316843643,355.36397887042,825.595927635556,593.338366854895,520.028758134234
"hdp.3",2889.52290773364,994.947826933803,1807.95721113956,1866.27002949928,295.204353083434,1256.72107336879,5341.96197368108,1233.63290643114,2134.17866886619,1573.20725569986
"hdp.4",5270.28223768806,2965.35354268665,2510.3096643981,3321.82498371793,383.811366384522,600.407499414998,744.198203423061,5337.04839265057,7430.09555231267,3571.51193103808
