"","Biliary-AdenoCA::SP117655","Biliary-AdenoCA::SP117556","Biliary-AdenoCA::SP117627","Biliary-AdenoCA::SP117775","Biliary-AdenoCA::SP117332","Biliary-AdenoCA::SP117712","Biliary-AdenoCA::SP117017","Biliary-AdenoCA::SP117031","Biliary-AdenoCA::SP117759","Biliary-AdenoCA::SP117621"
"hdp.1",5745.07734678644,114.146820610029,812.805290523853,4822.15315665242,1779.93734909924,287.159047031427,15.717270363184,1992.78172116569,2102.92719501252,5194.42293394571
"hdp.2",1554.23262378489,730.008099259004,175.926881580658,572.812124652664,302.370581316164,9014.00350297554,362.316101346945,606.180960459707,348.863902926683,370.545339799105
"hdp.3",2601.61621751478,869.389970704808,1447.21995320421,1398.31210971347,208.418002847768,1191.08554176701,5052.34957772106,930.655794226296,1572.25802515783,1033.74234632595
"hdp.4",4996.64487400582,2363.98449078063,1620.40078426275,2569.60245301622,382.228935801399,810.194721155186,206.966072765625,4092.04879463675,5269.1048150947,2594.8133273073
"potential hdp.1",2.42893790807615,1010.47061864553,1866.64709042853,3048.12015596522,783.04513093543,4.55718707083574,924.650977803183,2346.33272951156,4016.84606180828,3680.47605262194
